Test Case 0: predicted = 7; expected = 7; result = true
Test Case 4350: predicted = 3; expected = 2; result = false
Test Case 4351: predicted = 0; expected = 0; result = true
Test Case 4352: predicted = 3; expected = 3; result = true
Test Case 4353: predicted = 0; expected = 0; result = true
Test Case 4354: predicted = 2; expected = 2; result = true
Test Case 4355: predicted = 5; expected = 5; result = true
Test Case 4356: predicted = 5; expected = 5; result = true
Test Case 4357: predicted = 7; expected = 7; result = true
Test Case 4358: predicted = 9; expected = 9; result = true
Test Case 4359: predicted = 5; expected = 5; result = true
Test Case 4360: predicted = 5; expected = 5; result = true
Test Case 4361: predicted = 0; expected = 0; result = true
Test Case 4362: predicted = 8; expected = 8; result = true
Test Case 4363: predicted = 9; expected = 9; result = true
Test Case 4364: predicted = 5; expected = 5; result = true
Test Case 4365: predicted = 0; expected = 0; result = true
Test Case 4366: predicted = 3; expected = 3; result = true
Test Case 4367: predicted = 2; expected = 2; result = true
Test Case 4368: predicted = 5; expected = 5; result = true
Test Case 4369: predicted = 4; expected = 9; result = false
Test Case 4370: predicted = 0; expected = 0; result = true
Test Case 4371: predicted = 8; expected = 8; result = true
Test Case 4372: predicted = 8; expected = 8; result = true
Test Case 4373: predicted = 4; expected = 4; result = true
Test Case 4374: predicted = 5; expected = 5; result = true
Test Case 4375: predicted = 8; expected = 8; result = true
Test Case 4376: predicted = 8; expected = 8; result = true
Test Case 4377: predicted = 4; expected = 4; result = true
Test Case 4378: predicted = 5; expected = 5; result = true
Test Case 4379: predicted = 4; expected = 4; result = true
Test Case 4380: predicted = 8; expected = 8; result = true
Test Case 4381: predicted = 5; expected = 5; result = true
Test Case 4382: predicted = 4; expected = 4; result = true
Test Case 4383: predicted = 9; expected = 9; result = true
Test Case 4384: predicted = 2; expected = 2; result = true
Test Case 4385: predicted = 2; expected = 2; result = true
Test Case 4386: predicted = 1; expected = 1; result = true
Test Case 4387: predicted = 2; expected = 2; result = true
Test Case 4388: predicted = 6; expected = 6; result = true
Test Case 4389: predicted = 8; expected = 8; result = true
Test Case 4390: predicted = 8; expected = 8; result = true
Test Case 4391: predicted = 7; expected = 7; result = true
Test Case 4392: predicted = 0; expected = 0; result = true
Test Case 4393: predicted = 3; expected = 3; result = true
Test Case 4394: predicted = 6; expected = 6; result = true
Test Case 4395: predicted = 6; expected = 6; result = true
Test Case 4396: predicted = 4; expected = 4; result = true
Test Case 4397: predicted = 3; expected = 3; result = true
Test Case 4398: predicted = 8; expected = 8; result = true
Test Case 4399: predicted = 8; expected = 8; result = true
Test Case 4400: predicted = 1; expected = 7; result = false
Test Case 4401: predicted = 2; expected = 2; result = true
Test Case 4402: predicted = 2; expected = 2; result = true
Test Case 4403: predicted = 0; expected = 0; result = true
Test Case 4404: predicted = 0; expected = 0; result = true
Test Case 4405: predicted = 9; expected = 9; result = true
Test Case 4406: predicted = 3; expected = 3; result = true
Test Case 4407: predicted = 9; expected = 9; result = true
Test Case 4408: predicted = 9; expected = 9; result = true
Test Case 4409: predicted = 1; expected = 1; result = true
Test Case 4410: predicted = 9; expected = 9; result = true
Test Case 4411: predicted = 8; expected = 8; result = true
Test Case 4412: predicted = 6; expected = 6; result = true
Test Case 4413: predicted = 6; expected = 6; result = true
Test Case 4414: predicted = 4; expected = 4; result = true
Test Case 4415: predicted = 2; expected = 2; result = true
Test Case 4416: predicted = 6; expected = 6; result = true
Test Case 4417: predicted = 9; expected = 9; result = true
Test Case 4418: predicted = 2; expected = 2; result = true
Test Case 4419: predicted = 8; expected = 8; result = true
Test Case 4420: predicted = 5; expected = 5; result = true
Test Case 4421: predicted = 4; expected = 4; result = true
Test Case 4422: predicted = 5; expected = 5; result = true
Test Case 4423: predicted = 7; expected = 7; result = true
Test Case 4424: predicted = 9; expected = 9; result = true
Test Case 4425: predicted = 4; expected = 9; result = false
Test Case 4426: predicted = 9; expected = 9; result = true
Test Case 4427: predicted = 2; expected = 2; result = true
Test Case 4428: predicted = 1; expected = 1; result = true
Test Case 4429: predicted = 8; expected = 8; result = true
Test Case 4430: predicted = 3; expected = 3; result = true
Test Case 4431: predicted = 4; expected = 4; result = true
Test Case 4432: predicted = 0; expected = 0; result = true
Test Case 4433: predicted = 7; expected = 7; result = true
Test Case 4434: predicted = 8; expected = 8; result = true
Test Case 4435: predicted = 3; expected = 3; result = true
Test Case 4436: predicted = 9; expected = 9; result = true
Test Case 4437: predicted = 3; expected = 3; result = true
Test Case 4438: predicted = 4; expected = 4; result = true
Test Case 4439: predicted = 6; expected = 6; result = true
Test Case 4440: predicted = 5; expected = 5; result = true
Test Case 4441: predicted = 6; expected = 6; result = true
Test Case 4442: predicted = 2; expected = 2; result = true
Test Case 4443: predicted = 3; expected = 3; result = true
Test Case 4444: predicted = 9; expected = 9; result = true
Test Case 4445: predicted = 2; expected = 2; result = true
Test Case 4446: predicted = 6; expected = 6; result = true
Test Case 4447: predicted = 0; expected = 0; result = true
Test Case 4448: predicted = 0; expected = 0; result = true
Test Case 4449: predicted = 6; expected = 6; result = true
Test Case 4450: predicted = 1; expected = 1; result = true
Test Case 4451: predicted = 2; expected = 2; result = true
Test Case 4452: predicted = 8; expected = 8; result = true
Test Case 4453: predicted = 7; expected = 7; result = true
Test Case 4454: predicted = 9; expected = 9; result = true
Test Case 4455: predicted = 8; expected = 8; result = true
Test Case 4456: predicted = 2; expected = 2; result = true
Test Case 4457: predicted = 0; expected = 0; result = true
Test Case 4458: predicted = 4; expected = 4; result = true
Test Case 4459: predicted = 7; expected = 7; result = true
Test Case 4460: predicted = 7; expected = 7; result = true
Test Case 4461: predicted = 5; expected = 5; result = true
Test Case 4462: predicted = 0; expected = 0; result = true
Test Case 4463: predicted = 5; expected = 5; result = true
Test Case 4464: predicted = 6; expected = 6; result = true
Test Case 4465: predicted = 4; expected = 4; result = true
Test Case 4466: predicted = 6; expected = 6; result = true
Test Case 4467: predicted = 7; expected = 7; result = true
Test Case 4468: predicted = 4; expected = 4; result = true
Test Case 4469: predicted = 3; expected = 3; result = true
Test Case 4470: predicted = 0; expected = 0; result = true
Test Case 4471: predicted = 3; expected = 7; result = false
Test Case 4472: predicted = 5; expected = 5; result = true
Test Case 4473: predicted = 0; expected = 0; result = true
Test Case 4474: predicted = 3; expected = 7; result = false
Test Case 4475: predicted = 4; expected = 4; result = true
Test Case 4476: predicted = 2; expected = 2; result = true
Test Case 4477: predicted = 0; expected = 0; result = true
Test Case 4478: predicted = 8; expected = 8; result = true
Test Case 4479: predicted = 9; expected = 9; result = true
Test Case 4480: predicted = 9; expected = 9; result = true
Test Case 4481: predicted = 4; expected = 4; result = true
Test Case 4482: predicted = 2; expected = 2; result = true
Test Case 4483: predicted = 4; expected = 4; result = true
Test Case 4484: predicted = 6; expected = 6; result = true
Test Case 4485: predicted = 7; expected = 7; result = true
Test Case 4486: predicted = 8; expected = 8; result = true
Test Case 4487: predicted = 7; expected = 7; result = true
Test Case 4488: predicted = 6; expected = 6; result = true
Test Case 4489: predicted = 9; expected = 9; result = true
Test Case 4490: predicted = 4; expected = 4; result = true
Test Case 4491: predicted = 1; expected = 1; result = true
Test Case 4492: predicted = 3; expected = 3; result = true
Test Case 4493: predicted = 7; expected = 7; result = true
Test Case 4494: predicted = 3; expected = 3; result = true
Test Case 4495: predicted = 0; expected = 0; result = true
Test Case 4496: predicted = 8; expected = 8; result = true
Test Case 4497: predicted = 7; expected = 8; result = false
Test Case 4498: predicted = 7; expected = 7; result = true
Test Case 4499: predicted = 6; expected = 6; result = true
Test Case 4500: predicted = 1; expected = 9; result = false
Test Case 4501: predicted = 3; expected = 3; result = true
Test Case 4502: predicted = 9; expected = 9; result = true
Test Case 4503: predicted = 2; expected = 2; result = true
Test Case 4504: predicted = 2; expected = 2; result = true
Test Case 4505: predicted = 9; expected = 9; result = true
Test Case 4506: predicted = 2; expected = 2; result = true
Test Case 4507: predicted = 1; expected = 1; result = true
Test Case 4508: predicted = 8; expected = 8; result = true
Test Case 4509: predicted = 3; expected = 3; result = true
Test Case 4510: predicted = 2; expected = 2; result = true
Test Case 4511: predicted = 9; expected = 9; result = true
Test Case 4512: predicted = 6; expected = 6; result = true
Test Case 4513: predicted = 8; expected = 8; result = true
Test Case 4514: predicted = 4; expected = 4; result = true
Test Case 4515: predicted = 0; expected = 0; result = true
Test Case 4516: predicted = 1; expected = 1; result = true
Test Case 4517: predicted = 2; expected = 2; result = true
Test Case 4518: predicted = 8; expected = 8; result = true
Test Case 4519: predicted = 4; expected = 4; result = true
Test Case 4520: predicted = 5; expected = 5; result = true
Test Case 4521: predicted = 2; expected = 2; result = true
Test Case 4522: predicted = 7; expected = 7; result = true
Test Case 4523: predicted = 8; expected = 8; result = true
Test Case 4524: predicted = 1; expected = 1; result = true
Test Case 4525: predicted = 1; expected = 1; result = true
Test Case 4526: predicted = 3; expected = 3; result = true
Test Case 4527: predicted = 0; expected = 0; result = true
Test Case 4528: predicted = 3; expected = 3; result = true
Test Case 4529: predicted = 5; expected = 5; result = true
Test Case 4530: predicted = 7; expected = 7; result = true
Test Case 4531: predicted = 0; expected = 0; result = true
Test Case 4532: predicted = 3; expected = 3; result = true
Test Case 4533: predicted = 1; expected = 1; result = true
Test Case 4534: predicted = 9; expected = 9; result = true
Test Case 4535: predicted = 3; expected = 3; result = true
Test Case 4536: predicted = 6; expected = 6; result = true
Test Case 4537: predicted = 3; expected = 3; result = true
Test Case 4538: predicted = 1; expected = 1; result = true
Test Case 4539: predicted = 7; expected = 7; result = true
Test Case 4540: predicted = 7; expected = 7; result = true
Test Case 4541: predicted = 3; expected = 3; result = true
Test Case 4542: predicted = 0; expected = 0; result = true
Test Case 4543: predicted = 8; expected = 8; result = true
Test Case 4544: predicted = 4; expected = 4; result = true
Test Case 4545: predicted = 8; expected = 8; result = true
Test Case 4546: predicted = 2; expected = 2; result = true
Test Case 4547: predicted = 6; expected = 6; result = true
Test Case 4548: predicted = 5; expected = 5; result = true
Test Case 4549: predicted = 2; expected = 2; result = true
Test Case 4550: predicted = 9; expected = 9; result = true
Test Case 4551: predicted = 7; expected = 7; result = true
Test Case 4552: predicted = 3; expected = 3; result = true
Test Case 4553: predicted = 9; expected = 9; result = true
Test Case 4554: predicted = 0; expected = 0; result = true
Test Case 4555: predicted = 9; expected = 9; result = true
Test Case 4556: predicted = 9; expected = 9; result = true
Test Case 4557: predicted = 6; expected = 6; result = true
Test Case 4558: predicted = 4; expected = 4; result = true
Test Case 4559: predicted = 2; expected = 2; result = true
Test Case 4560: predicted = 9; expected = 9; result = true
Test Case 4561: predicted = 7; expected = 7; result = true
Test Case 4562: predicted = 2; expected = 2; result = true
Test Case 4563: predicted = 1; expected = 1; result = true
Test Case 4564: predicted = 1; expected = 1; result = true
Test Case 4565: predicted = 6; expected = 6; result = true
Test Case 4566: predicted = 7; expected = 7; result = true
Test Case 4567: predicted = 4; expected = 4; result = true
Test Case 4568: predicted = 7; expected = 7; result = true
Test Case 4569: predicted = 5; expected = 5; result = true
Test Case 4570: predicted = 9; expected = 9; result = true
Test Case 4571: predicted = 6; expected = 6; result = true
Test Case 4572: predicted = 8; expected = 8; result = true
Test Case 4573: predicted = 2; expected = 2; result = true
Test Case 4574: predicted = 1; expected = 1; result = true
Test Case 4575: predicted = 4; expected = 4; result = true
Test Case 4576: predicted = 4; expected = 4; result = true
Test Case 4577: predicted = 5; expected = 5; result = true
Test Case 4578: predicted = 9; expected = 7; result = false
Test Case 4579: predicted = 6; expected = 6; result = true
Test Case 4580: predicted = 1; expected = 1; result = true
Test Case 4581: predicted = 3; expected = 3; result = true
Test Case 4582: predicted = 2; expected = 2; result = true
Test Case 4583: predicted = 5; expected = 5; result = true
Test Case 4584: predicted = 9; expected = 9; result = true
Test Case 4585: predicted = 9; expected = 9; result = true
Test Case 4586: predicted = 3; expected = 3; result = true
Test Case 4587: predicted = 6; expected = 6; result = true
Test Case 4588: predicted = 1; expected = 1; result = true
Test Case 4589: predicted = 1; expected = 1; result = true
Test Case 4590: predicted = 4; expected = 4; result = true
Test Case 4591: predicted = 6; expected = 6; result = true
Test Case 4592: predicted = 9; expected = 9; result = true
Test Case 4593: predicted = 7; expected = 7; result = true
Test Case 4594: predicted = 2; expected = 2; result = true
Test Case 4595: predicted = 1; expected = 1; result = true
Test Case 4596: predicted = 5; expected = 5; result = true
Test Case 4597: predicted = 1; expected = 1; result = true
Test Case 4598: predicted = 4; expected = 4; result = true
Test Case 4599: predicted = 6; expected = 6; result = true
Test Case 4600: predicted = 3; expected = 3; result = true
Test Case 4601: predicted = 4; expected = 8; result = false
Test Case 4602: predicted = 1; expected = 1; result = true
Test Case 4603: predicted = 1; expected = 1; result = true
Test Case 4604: predicted = 0; expected = 0; result = true
Test Case 4605: predicted = 3; expected = 3; result = true
Test Case 4606: predicted = 1; expected = 1; result = true
Test Case 4607: predicted = 6; expected = 6; result = true
Test Case 4608: predicted = 8; expected = 8; result = true
Test Case 4609: predicted = 4; expected = 4; result = true
Test Case 4610: predicted = 9; expected = 9; result = true
Test Case 4611: predicted = 0; expected = 0; result = true
Test Case 4612: predicted = 7; expected = 7; result = true
Test Case 4613: predicted = 3; expected = 3; result = true
Test Case 4614: predicted = 0; expected = 0; result = true
Test Case 4615: predicted = 2; expected = 2; result = true
Test Case 4616: predicted = 9; expected = 9; result = true
Test Case 4617: predicted = 0; expected = 0; result = true
Test Case 4618: predicted = 6; expected = 6; result = true
Test Case 4619: predicted = 6; expected = 6; result = true
Test Case 4620: predicted = 6; expected = 6; result = true
Test Case 4621: predicted = 3; expected = 3; result = true
Test Case 4622: predicted = 6; expected = 6; result = true
Test Case 4623: predicted = 7; expected = 7; result = true
Test Case 4624: predicted = 7; expected = 7; result = true
Test Case 4625: predicted = 2; expected = 2; result = true
Test Case 4626: predicted = 8; expected = 8; result = true
Test Case 4627: predicted = 6; expected = 6; result = true
Test Case 4628: predicted = 0; expected = 0; result = true
Test Case 4629: predicted = 8; expected = 8; result = true
Test Case 4630: predicted = 3; expected = 3; result = true
Test Case 4631: predicted = 0; expected = 0; result = true
Test Case 4632: predicted = 2; expected = 2; result = true
Test Case 4633: predicted = 9; expected = 9; result = true
Test Case 4634: predicted = 8; expected = 8; result = true
Test Case 4635: predicted = 3; expected = 3; result = true
Test Case 4636: predicted = 2; expected = 2; result = true
Test Case 4637: predicted = 5; expected = 5; result = true
Test Case 4638: predicted = 3; expected = 3; result = true
Test Case 4639: predicted = 9; expected = 8; result = false
Test Case 4640: predicted = 8; expected = 8; result = true
Test Case 4641: predicted = 0; expected = 0; result = true
Test Case 4642: predicted = 0; expected = 0; result = true
Test Case 4643: predicted = 1; expected = 1; result = true
Test Case 4644: predicted = 9; expected = 9; result = true
Test Case 4645: predicted = 5; expected = 5; result = true
Test Case 4646: predicted = 1; expected = 1; result = true
Test Case 4647: predicted = 3; expected = 3; result = true
Test Case 4648: predicted = 9; expected = 9; result = true
Test Case 4649: predicted = 6; expected = 6; result = true
Test Case 4650: predicted = 0; expected = 0; result = true
Test Case 4651: predicted = 1; expected = 1; result = true
Test Case 4652: predicted = 4; expected = 4; result = true
Test Case 4653: predicted = 1; expected = 1; result = true
Test Case 4654: predicted = 7; expected = 7; result = true
Test Case 4655: predicted = 1; expected = 1; result = true
Test Case 4656: predicted = 2; expected = 2; result = true
Test Case 4657: predicted = 3; expected = 3; result = true
Test Case 4658: predicted = 7; expected = 7; result = true
Test Case 4659: predicted = 9; expected = 9; result = true
Test Case 4660: predicted = 7; expected = 7; result = true
Test Case 4661: predicted = 4; expected = 4; result = true
Test Case 4662: predicted = 9; expected = 9; result = true
Test Case 4663: predicted = 9; expected = 9; result = true
Test Case 4664: predicted = 3; expected = 3; result = true
Test Case 4665: predicted = 9; expected = 9; result = true
Test Case 4666: predicted = 2; expected = 2; result = true
Test Case 4667: predicted = 8; expected = 8; result = true
Test Case 4668: predicted = 2; expected = 2; result = true
Test Case 4669: predicted = 7; expected = 7; result = true
Test Case 4670: predicted = 1; expected = 1; result = true
Test Case 4671: predicted = 8; expected = 8; result = true
Test Case 4672: predicted = 0; expected = 0; result = true
Test Case 4673: predicted = 9; expected = 9; result = true
Test Case 4674: predicted = 1; expected = 1; result = true
Test Case 4675: predicted = 0; expected = 0; result = true
Test Case 4676: predicted = 1; expected = 1; result = true
Test Case 4677: predicted = 7; expected = 7; result = true
Test Case 4678: predicted = 7; expected = 7; result = true
Test Case 4679: predicted = 9; expected = 9; result = true
Test Case 4680: predicted = 6; expected = 6; result = true
Test Case 4681: predicted = 9; expected = 9; result = true
Test Case 4682: predicted = 9; expected = 9; result = true
Test Case 4683: predicted = 9; expected = 9; result = true
Test Case 4684: predicted = 2; expected = 2; result = true
Test Case 4685: predicted = 1; expected = 1; result = true
Test Case 4686: predicted = 6; expected = 6; result = true
Test Case 4687: predicted = 1; expected = 1; result = true
Test Case 4688: predicted = 3; expected = 3; result = true
Test Case 4689: predicted = 5; expected = 5; result = true
Test Case 4690: predicted = 7; expected = 7; result = true
Test Case 4691: predicted = 1; expected = 1; result = true
Test Case 4692: predicted = 9; expected = 9; result = true
Test Case 4693: predicted = 7; expected = 7; result = true
Test Case 4694: predicted = 6; expected = 6; result = true
Test Case 4695: predicted = 4; expected = 4; result = true
Test Case 4696: predicted = 5; expected = 5; result = true
Test Case 4697: predicted = 7; expected = 7; result = true
Test Case 4698: predicted = 6; expected = 6; result = true
Test Case 4699: predicted = 6; expected = 6; result = true
Test Case 4700: predicted = 9; expected = 9; result = true
Test Case 4701: predicted = 9; expected = 9; result = true
Test Case 4702: predicted = 6; expected = 6; result = true
Test Case 4703: predicted = 3; expected = 3; result = true
Test Case 4704: predicted = 6; expected = 6; result = true
Test Case 4705: predicted = 3; expected = 2; result = false
Test Case 4706: predicted = 9; expected = 9; result = true
Test Case 4707: predicted = 8; expected = 8; result = true
Test Case 4708: predicted = 1; expected = 1; result = true
Test Case 4709: predicted = 2; expected = 2; result = true
Test Case 4710: predicted = 2; expected = 2; result = true
Test Case 4711: predicted = 5; expected = 5; result = true
Test Case 4712: predicted = 5; expected = 5; result = true
Test Case 4713: predicted = 2; expected = 2; result = true
Test Case 4714: predicted = 3; expected = 3; result = true
Test Case 4715: predicted = 7; expected = 7; result = true
Test Case 4716: predicted = 2; expected = 2; result = true
Test Case 4717: predicted = 1; expected = 1; result = true
Test Case 4718: predicted = 0; expected = 0; result = true
Test Case 4719: predicted = 1; expected = 1; result = true
Test Case 4720: predicted = 0; expected = 0; result = true
Test Case 4721: predicted = 4; expected = 4; result = true
Test Case 4722: predicted = 5; expected = 5; result = true
Test Case 4723: predicted = 2; expected = 2; result = true
Test Case 4724: predicted = 8; expected = 8; result = true
Test Case 4725: predicted = 2; expected = 2; result = true
Test Case 4726: predicted = 8; expected = 8; result = true
Test Case 4727: predicted = 3; expected = 3; result = true
Test Case 4728: predicted = 5; expected = 5; result = true
Test Case 4729: predicted = 1; expected = 1; result = true
Test Case 4730: predicted = 7; expected = 7; result = true
Test Case 4731: predicted = 7; expected = 8; result = false
Test Case 4732: predicted = 1; expected = 1; result = true
Test Case 4733: predicted = 1; expected = 1; result = true
Test Case 4734: predicted = 2; expected = 2; result = true
Test Case 4735: predicted = 9; expected = 9; result = true
Test Case 4736: predicted = 7; expected = 7; result = true
Test Case 4737: predicted = 8; expected = 8; result = true
Test Case 4738: predicted = 4; expected = 4; result = true
Test Case 4739: predicted = 0; expected = 0; result = true
Test Case 4740: predicted = 5; expected = 3; result = false
Test Case 4741: predicted = 0; expected = 0; result = true
Test Case 4742: predicted = 7; expected = 7; result = true
Test Case 4743: predicted = 8; expected = 8; result = true
Test Case 4744: predicted = 8; expected = 8; result = true
Test Case 4745: predicted = 4; expected = 4; result = true
Test Case 4746: predicted = 7; expected = 7; result = true
Test Case 4747: predicted = 7; expected = 7; result = true
Test Case 4748: predicted = 8; expected = 8; result = true
Test Case 4749: predicted = 5; expected = 5; result = true
Test Case 4750: predicted = 8; expected = 8; result = true
Test Case 4751: predicted = 4; expected = 4; result = true
Test Case 4752: predicted = 9; expected = 9; result = true
Test Case 4753: predicted = 8; expected = 8; result = true
Test Case 4754: predicted = 1; expected = 1; result = true
Test Case 4755: predicted = 3; expected = 3; result = true
Test Case 4756: predicted = 8; expected = 8; result = true
Test Case 4757: predicted = 0; expected = 0; result = true
Test Case 4758: predicted = 3; expected = 3; result = true
Test Case 4759: predicted = 1; expected = 1; result = true
Test Case 4760: predicted = 7; expected = 7; result = true
Test Case 4761: predicted = 8; expected = 9; result = false
Test Case 4762: predicted = 5; expected = 5; result = true
Test Case 4763: predicted = 5; expected = 5; result = true
Test Case 4764: predicted = 1; expected = 1; result = true
Test Case 4765: predicted = 6; expected = 6; result = true
Test Case 4766: predicted = 5; expected = 5; result = true
Test Case 4767: predicted = 7; expected = 7; result = true
Test Case 4768: predicted = 4; expected = 4; result = true
Test Case 4769: predicted = 9; expected = 9; result = true
Test Case 4770: predicted = 3; expected = 3; result = true
Test Case 4771: predicted = 5; expected = 5; result = true
Test Case 4772: predicted = 4; expected = 4; result = true
Test Case 4773: predicted = 7; expected = 7; result = true
Test Case 4774: predicted = 1; expected = 1; result = true
Test Case 4775: predicted = 2; expected = 2; result = true
Test Case 4776: predicted = 0; expected = 0; result = true
Test Case 4777: predicted = 8; expected = 8; result = true
Test Case 4778: predicted = 1; expected = 1; result = true
Test Case 4779: predicted = 6; expected = 6; result = true
Test Case 4780: predicted = 0; expected = 0; result = true
Test Case 4781: predicted = 7; expected = 7; result = true
Test Case 4782: predicted = 3; expected = 3; result = true
Test Case 4783: predicted = 9; expected = 4; result = false
Test Case 4784: predicted = 7; expected = 7; result = true
Test Case 4785: predicted = 3; expected = 3; result = true
Test Case 4786: predicted = 9; expected = 9; result = true
Test Case 4787: predicted = 6; expected = 6; result = true
Test Case 4788: predicted = 0; expected = 0; result = true
Test Case 4789: predicted = 8; expected = 8; result = true
Test Case 4790: predicted = 6; expected = 6; result = true
Test Case 4791: predicted = 4; expected = 4; result = true
Test Case 4792: predicted = 8; expected = 8; result = true
Test Case 4793: predicted = 7; expected = 7; result = true
Test Case 4794: predicted = 7; expected = 7; result = true
Test Case 4795: predicted = 9; expected = 9; result = true
Test Case 4796: predicted = 3; expected = 3; result = true
Test Case 4797: predicted = 8; expected = 8; result = true
Test Case 4798: predicted = 6; expected = 6; result = true
Test Case 4799: predicted = 9; expected = 9; result = true
Test Case 4800: predicted = 7; expected = 7; result = true
Test Case 4801: predicted = 2; expected = 2; result = true
Test Case 4802: predicted = 3; expected = 3; result = true
Test Case 4803: predicted = 4; expected = 4; result = true
Test Case 4804: predicted = 0; expected = 0; result = true
Test Case 4805: predicted = 2; expected = 2; result = true
Test Case 4806: predicted = 1; expected = 1; result = true
Test Case 4807: predicted = 0; expected = 8; result = false
Test Case 4808: predicted = 3; expected = 3; result = true
Test Case 4809: predicted = 5; expected = 5; result = true
Test Case 4810: predicted = 5; expected = 5; result = true
Test Case 4811: predicted = 7; expected = 7; result = true
Test Case 4812: predicted = 2; expected = 2; result = true
Test Case 4813: predicted = 4; expected = 4; result = true
Test Case 4814: predicted = 0; expected = 6; result = false
Test Case 4815: predicted = 7; expected = 7; result = true
Test Case 4816: predicted = 2; expected = 2; result = true
Test Case 4817: predicted = 8; expected = 8; result = true
Test Case 4818: predicted = 3; expected = 3; result = true
Test Case 4819: predicted = 0; expected = 0; result = true
Test Case 4820: predicted = 8; expected = 8; result = true
Test Case 4821: predicted = 7; expected = 7; result = true
Test Case 4822: predicted = 8; expected = 8; result = true
Test Case 4823: predicted = 9; expected = 9; result = true
Test Case 4824: predicted = 0; expected = 0; result = true
Test Case 4825: predicted = 8; expected = 8; result = true
Test Case 4826: predicted = 4; expected = 4; result = true
Test Case 4827: predicted = 4; expected = 4; result = true
Test Case 4828: predicted = 5; expected = 5; result = true
Test Case 4829: predicted = 8; expected = 8; result = true
Test Case 4830: predicted = 5; expected = 5; result = true
Test Case 4831: predicted = 6; expected = 6; result = true
Test Case 4832: predicted = 6; expected = 6; result = true
Test Case 4833: predicted = 3; expected = 3; result = true
Test Case 4834: predicted = 0; expected = 0; result = true
Test Case 4835: predicted = 9; expected = 9; result = true
Test Case 4836: predicted = 3; expected = 3; result = true
Test Case 4837: predicted = 2; expected = 7; result = false
Test Case 4838: predicted = 6; expected = 6; result = true
Test Case 4839: predicted = 8; expected = 8; result = true
Test Case 4840: predicted = 9; expected = 9; result = true
Test Case 4841: predicted = 3; expected = 3; result = true
Test Case 4842: predicted = 4; expected = 4; result = true
Test Case 4843: predicted = 9; expected = 9; result = true
Test Case 4844: predicted = 5; expected = 5; result = true
Test Case 4845: predicted = 8; expected = 8; result = true
Test Case 4846: predicted = 9; expected = 9; result = true
Test Case 4847: predicted = 1; expected = 1; result = true
Test Case 4848: predicted = 2; expected = 2; result = true
Test Case 4849: predicted = 8; expected = 8; result = true
Test Case 4850: predicted = 8; expected = 8; result = true
Test Case 4851: predicted = 6; expected = 6; result = true
Test Case 4852: predicted = 8; expected = 8; result = true
Test Case 4853: predicted = 1; expected = 1; result = true
Test Case 4854: predicted = 3; expected = 3; result = true
Test Case 4855: predicted = 7; expected = 7; result = true
Test Case 4856: predicted = 9; expected = 9; result = true
Test Case 4857: predicted = 0; expected = 0; result = true
Test Case 4858: predicted = 1; expected = 1; result = true
Test Case 4859: predicted = 1; expected = 1; result = true
Test Case 4860: predicted = 4; expected = 4; result = true
Test Case 4861: predicted = 7; expected = 7; result = true
Test Case 4862: predicted = 0; expected = 0; result = true
Test Case 4863: predicted = 8; expected = 8; result = true
Test Case 4864: predicted = 1; expected = 1; result = true
Test Case 4865: predicted = 7; expected = 7; result = true
Test Case 4866: predicted = 4; expected = 4; result = true
Test Case 4867: predicted = 5; expected = 5; result = true
Test Case 4868: predicted = 7; expected = 7; result = true
Test Case 4869: predicted = 1; expected = 1; result = true
Test Case 4870: predicted = 8; expected = 2; result = false
Test Case 4871: predicted = 1; expected = 1; result = true
Test Case 4872: predicted = 1; expected = 1; result = true
Test Case 4873: predicted = 3; expected = 3; result = true
Test Case 4874: predicted = 9; expected = 9; result = true
Test Case 4875: predicted = 6; expected = 6; result = true
Test Case 4876: predicted = 2; expected = 2; result = true
Test Case 4877: predicted = 1; expected = 1; result = true
Test Case 4878: predicted = 2; expected = 2; result = true
Test Case 4879: predicted = 6; expected = 8; result = false
Test Case 4880: predicted = 0; expected = 0; result = true
Test Case 4881: predicted = 7; expected = 7; result = true
Test Case 4882: predicted = 6; expected = 6; result = true
Test Case 4883: predicted = 6; expected = 6; result = true
Test Case 4884: predicted = 9; expected = 9; result = true
Test Case 4885: predicted = 3; expected = 3; result = true
Test Case 4886: predicted = 7; expected = 7; result = true
Test Case 4887: predicted = 0; expected = 0; result = true
Test Case 4888: predicted = 5; expected = 5; result = true
Test Case 4889: predicted = 2; expected = 2; result = true
Test Case 4890: predicted = 3; expected = 8; result = false
Test Case 4891: predicted = 0; expected = 0; result = true
Test Case 4892: predicted = 5; expected = 5; result = true
Test Case 4893: predicted = 4; expected = 4; result = true
Test Case 4894: predicted = 3; expected = 3; result = true
Test Case 4895: predicted = 8; expected = 8; result = true
Test Case 4896: predicted = 4; expected = 4; result = true
Test Case 4897: predicted = 6; expected = 6; result = true
Test Case 4898: predicted = 6; expected = 6; result = true
Test Case 4899: predicted = 2; expected = 2; result = true
Test Case 4900: predicted = 7; expected = 7; result = true
Test Case 4901: predicted = 9; expected = 9; result = true
Test Case 4902: predicted = 5; expected = 5; result = true
Test Case 4903: predicted = 1; expected = 1; result = true
Test Case 4904: predicted = 3; expected = 3; result = true
Test Case 4905: predicted = 2; expected = 2; result = true
Test Case 4906: predicted = 4; expected = 4; result = true
Test Case 4907: predicted = 3; expected = 3; result = true
Test Case 4908: predicted = 6; expected = 6; result = true
